condition_name,condition_aliases,condition_category,condition_icd_code,drug_generic_name,drug_brand_names,drug_class,adult_dose,pediatric_dose,route,frequency,duration,strength,formulation,line_of_treatment,notes,contraindications
UTI – Simple Cystitis (Female),Burning Micturition;Uncomplicated UTI;Lower UTI,Infectious Disease,N30.0,Nitrofurantoin,Nitrofurantoin;Macrobid,Urinary Antiseptic,100 mg BD,,Oral,BD,5 days,100 mg,Tablet,First line – Uncomplicated cystitis female,Source: ICMR STW. Empirical treatment – no tests needed for simple cystitis in females. Take with food.,eGFR <45; near-term pregnancy; avoid urine alkaliniser concurrently
UTI – Simple Cystitis (Female),Burning Micturition;Uncomplicated UTI,Infectious Disease,N30.0,Trimethoprim-Sulfamethoxazole (TMP-SMX),Septran;Bactrim,Sulfonamide + Diaminopyrimidine,1 DS tab BD,,Oral,BD,3 days,160/800 mg DS,Tablet,First line – Alternative (if local sensitivity allows),Source: ICMR STW. Check local resistance patterns. Avoid in 1st trimester and near term pregnancy.,G6PD deficiency; sulfa allergy; 1st trimester/near-term pregnancy
UTI – Simple Cystitis (Male),Male UTI;UTI in Men,Infectious Disease,N39.0,Nitrofurantoin,Nitrofurantoin,Urinary Antiseptic,100 mg BD,,Oral,BD,7 days,100 mg,Tablet,First line – Uncomplicated cystitis male,"Source: ICMR STW. Males require 7 days (not 3 days). All other male UTI (pyelonephritis, prostatitis) must be referred.",eGFR <45
UTI – Simple Cystitis (Male),Male UTI,Infectious Disease,N39.0,Ciprofloxacin,Cipro;Ciplox,Fluoroquinolone,500 mg BD,,Oral,BD,7 days,500 mg,Tablet,First line – Male cystitis alternative,Source: ICMR STW. Alternative to nitrofurantoin in males.,Myasthenia gravis; tendinopathy risk
UTI – Pyelonephritis (Outpatient),Upper UTI;Kidney Infection;Loin Pain Fever,Infectious Disease,N10,Ciprofloxacin,Cipro;Ciplox,Fluoroquinolone,500 mg BD,,Oral,BD,7 days,500 mg,Tablet,First line – Pyelonephritis outpatient,Source: ICMR STW. Consider initial parenteral dose: Ceftriaxone 1-2 g IV/IM x1 or Gentamicin 5 mg/kg IM x1 before starting oral.,
UTI – Pyelonephritis (Outpatient),Upper UTI;Kidney Infection,Infectious Disease,N10,Levofloxacin,Levoflox;Tavanic,Fluoroquinolone,750 mg OD,,Oral,OD,5 days,750 mg,Tablet,First line – Pyelonephritis outpatient alternative,Source: ICMR STW. 5-day course with 750 mg equivalent to 7-day 500 mg course.,
UTI – Pyelonephritis (Outpatient),Upper UTI;Kidney Infection,Infectious Disease,N10,Cefuroxime,Ceftin;Zinnat,2nd Gen Cephalosporin,500 mg BD,,Oral,BD,10-14 days,500 mg,Tablet,First line – Pyelonephritis outpatient alternative,Source: ICMR STW. 10-14 day course required for pyelonephritis.,
UTI – Pregnancy,Pregnancy UTI;Asymptomatic Bacteriuria Pregnancy,Infectious Disease,N39.0,Nitrofurantoin,Nitrofurantoin;Macrobid,Urinary Antiseptic,100 mg BD,,Oral,BD,5-7 days,100 mg,Tablet,First line – Pregnancy UTI/asymptomatic bacteriuria,Source: ICMR STW. Check urine culture at 1st antenatal visit. Avoid near term (week 36+). Repeat urine C/S 7 days after Rx.,Near-term pregnancy (week 36+); eGFR <45
UTI – Pregnancy,Pregnancy UTI,Infectious Disease,N39.0,Cephalexin,Keflex;Sporidex,1st Gen Cephalosporin,500 mg QID,,Oral,QID,5-7 days,500 mg,Capsule,First line – Pregnancy UTI alternative,Source: ICMR STW. Safe in pregnancy. If recurrent UTI in pregnancy: antibiotic prophylaxis till term.,
UTI – Prostatitis,Prostatitis;Pelvic Pain Male;Prostatic Infection,Infectious Disease,N41.0,Septran (TMP-SMX),Septran;Bactrim,Sulfonamide + Diaminopyrimidine,1 DS tab BD (older >35 yrs),,Oral,BD,6 weeks,160/800 mg DS,Tablet,First line – Prostatitis (older males >35 yrs),Source: ICMR STW. Treat for 6 weeks. Digital rectal exam: tender prostate. Image to rule out abscess.,
UTI – Prostatitis (Young Male),Prostatitis;STI-associated Prostatitis,Infectious Disease,N41.0,Doxycycline + Ceftriaxone (single dose),,Tetracycline + Cephalosporin,Doxycycline 100 mg BD x 6 weeks + Ceftriaxone 250 mg IM single dose (for gonorrhoea cover),,Oral + IM,BD (oral); Stat (IM),6 weeks,100 mg (Doxy); 250 mg (Ceftriaxone),Tablet + Injection,First line – Prostatitis young males (chlamydia/gonorrhoea cover),Source: ICMR STW. Young males: STI-associated prostatitis. Cover chlamydia (doxy/azithro) + gonorrhoea (ceftriaxone IM).,
UTI – Recurrent (Prophylaxis),Recurrent UTI;RUTI;Frequent UTI,Infectious Disease,N39.0,Nitrofurantoin (low dose prophylaxis),Nitrofurantoin,Urinary Antiseptic,50 mg OD at HS or post-coital,,Oral,OD HS or post-coital,6 months,50 mg,Tablet,Prophylaxis – Recurrent uncomplicated UTI,Source: ICMR STW. Post-coital voiding also advised. Estrogen vaginal cream for post-menopausal recurrent UTI.,eGFR <45; long-term use – pulmonary toxicity
UTI – Symptomatic Relief,Burning Micturition Symptomatic,Infectious Disease,N39.0,Potassium Citrate (Urine Alkaliser),Alkasol;Uralyt,Urine Alkaliser,10 ml TDS in water,,Oral,TDS,5-7 days,,Syrup,Adjuvant – symptomatic relief,Source: ICMR STW. Relieves dysuria by alkalinising urine. Avoid if on nitrofurantoin (nitrofurantoin requires acidic urine).,Severe renal impairment; concurrent nitrofurantoin
UTI – Symptomatic Relief,Burning Micturition Symptomatic,Infectious Disease,N39.0,Phenazopyridine,Pyridium;Uristat,Urinary Analgesic,200 mg TDS x 2 days,,Oral,TDS,2 days,200 mg,Tablet,Adjuvant – pain/dysuria relief,Source: ICMR STW. Turns urine orange – warn patient. Use only for 2 days.,Renal impairment; G6PD deficiency
Heart Failure,CHF;Cardiac Failure;Decompensated Heart Failure;Breathlessness;DCHF,Cardiovascular,I50.9,Furosemide,Lasix;Dytor,Loop Diuretic,20-80 mg OD PO; IV 10-80 mg SOS in acute stage; change to oral when symptoms subside,,Oral / IV,OD-BD,Continue (oral); Acute (IV),20 mg; 40 mg,Tablet/Injection,First line – Decongestion,"Source: ICMR STW. Start with IV in acute/admitted patients; switch to oral once decongested. Monitor serum electrolytes, creatinine and uric acid.",Anuria; severe hypokalemia
Heart Failure,CHF;Cardiac Failure;HFrEF,Cardiovascular,I50.9,ARNI (Sacubitril-Valsartan),Vymada;Entresto,Angiotensin Receptor-Neprilysin Inhibitor,"50-200 mg BD; start with low dose if BP >100 mmHg, normal electrolytes, creatinine <2.5 mg/dl; uptitrate 1-2 weekly",,Oral,BD,Continue,50 mg; 100 mg; 200 mg,Tablet,First line – HFrEF (replaces ACE inhibitor/ARB),Source: ICMR STW. Uptitrate every 1-2 weeks to maximum tolerable dose. Monitor BP and electrolytes before every increment.,Pregnancy; bilateral renal artery stenosis; concurrent ACE inhibitor (36 hr washout needed); creatinine >2.5 mg/dl
Heart Failure,CHF;Cardiac Failure;HFrEF,Cardiovascular,I50.9,Carvedilol,Cardivas;Coreg,Non-Selective Beta Blocker + Alpha Blocker,"3.125-25 mg BD; start after decongestion with low dose (BP >100 mmHg, HR >60/min); uptitrate 1-2 weekly",,Oral,BD,Continue,3.125 mg; 6.25 mg; 12.5 mg; 25 mg,Tablet,First line – Beta blocker for HFrEF,"Source: ICMR STW. START ONLY AFTER DECONGESTION. Never initiate in acute decompensation. Monitor BP, HR, and watch for worsening CHF symptoms.",Acute decompensation; HR <60; BP <100; Asthma/COPD (use bisoprolol instead)
Heart Failure,CHF;Cardiac Failure;HFrEF,Cardiovascular,I50.9,Metoprolol Succinate,Betaloc ZOK;Metolar XR,Cardioselective Beta-1 Blocker,12.5-50 mg BD; start after decongestion,,Oral,BD,Continue,12.5 mg; 25 mg; 50 mg,Tablet (extended release),First line – Beta blocker for HFrEF alternative,Source: ICMR STW. Alternative to carvedilol. Start after decongestion only.,Acute decompensation; HR <60; BP <100
Heart Failure,CHF;Cardiac Failure;HFrEF,Cardiovascular,I50.9,Bisoprolol,Concor;Bisocard,Cardioselective Beta-1 Blocker,1.25-10 mg OD; start after decongestion,,Oral,OD,Continue,1.25 mg; 2.5 mg; 5 mg; 10 mg,Tablet,First line – Beta blocker (preferred in COPD/asthma over carvedilol),Source: ICMR STW. Once-daily dosing advantage. Preferred if asthma/COPD (more cardioselective).,Acute decompensation; HR <60; AV block
Heart Failure,CHF;Cardiac Failure;HFrEF;MRA,Cardiovascular,I50.9,Spironolactone,Aldactone;Lasilactone,Mineralocorticoid Receptor Antagonist,25-50 mg OD,,Oral,OD,Continue,25 mg; 50 mg,Tablet,First line – MRA for HFrEF,Source: ICMR STW. Monitor serum potassium and creatinine every 2-4 weeks. Stop if K+ >5.5 mEq/L or creatinine >2.5 mg/dl.,Hyperkalemia (K+ >5); creatinine >2.5 mg/dl; eGFR <30
Heart Failure,CHF;Cardiac Failure;SGLT2,Cardiovascular,I50.9,SGLT2 Inhibitor (Dapagliflozin / Empagliflozin),Forxiga;Jardiance,SGLT2 Inhibitor,Dapagliflozin 10 mg OD or Empagliflozin 10 mg OD,,Oral,OD,Continue,10 mg,Tablet,"First line – add-on (HFrEF and HFpEF, diabetic or non-diabetic)",Source: ICMR STW. Now recommended in heart failure regardless of diabetes status. Reduces hospitalisation.,eGFR <20; DKA; hypotension
Heart Failure – Acute,Acute CHF;DCHF;Pulmonary Oedema,Cardiovascular,I50.9,IV Furosemide,Lasix,Loop Diuretic (IV),20-80 mg IV bolus; repeat every 6-8 hrs as needed,,IV,Bolus / infusion,Acute (until decongested),20 mg/2ml ampoule,Injection,Emergency – Acute decompensation,"Source: ICMR STW. Give IV in acute decompensation. O2 if SpO2 <90%. Monitor urine output, electrolytes, creatinine daily.",Anuria
Tinea / Dermatophytosis (Limited),Tinea Corporis;Ring Worm;Tinea Cruris;Skin Fungus;Dermatophyte,Dermatology,B35.9,Clotrimazole 1-2%,Canesten;Candid,Topical Azole,Apply LA BD,,Topical,BD,3-8 weeks (until all lesions resolved),1%; 2%,Cream,First line – Topical (limited Tinea corporis/cruris),Source: ICMR STW. ALWAYS treat till all lesions completely resolved. Treat for at least 3-8 weeks. Do NOT stop on partial improvement. DO NOT use steroid-containing creams.,
Tinea / Dermatophytosis (Limited),Tinea Corporis;Ring Worm;Skin Fungus,Dermatology,B35.9,Miconazole 2%,Daktarin;Micogel,Topical Azole,Apply LA BD,,Topical,BD,3-8 weeks,2%,Cream,First line – Topical alternative,Source: ICMR STW. Safer option in pregnancy. Maximum safety data for miconazole and clotrimazole in pregnancy.,
Tinea / Dermatophytosis (Limited),Tinea Corporis;Ring Worm,Dermatology,B35.9,Terbinafine 1%,Terbicip;Lamisil,Topical Allylamine,Apply LA BD,,Topical,BD,2-4 weeks,1%,Cream,First line – Topical alternative,Source: ICMR STW. Fungicidal (not just static). Shorter treatment course.,
Tinea / Dermatophytosis (Limited),Tinea Corporis;Ring Worm;Dandruff,Dermatology,B35.9,Ketoconazole 2%,Nizoral;Dancel,Topical Azole,Apply LA BD,,Topical,BD,4 weeks,2%,Cream/Shampoo,First line – Topical alternative,Source: ICMR STW. Also useful for seborrhoeic dermatitis when used as shampoo.,
Tinea / Dermatophytosis (Extensive),Extensive Tinea;Widespread Ring Worm;Tinea Corporis Extensive,Dermatology,B35.9,Terbinafine (Systemic),Terbicip;Lamisil,Systemic Allylamine Antifungal,250 mg BD,3-6 mg/kg/day (or <20 kg: 62.5 mg; 20-40 kg: 125 mg; >40 kg: 250 mg),Oral,BD,3-8 weeks (until all lesions resolved),250 mg,Tablet,First line – Systemic (extensive disease),Source: ICMR STW. TREAT TILL ALL LESIONS COMPLETELY RESOLVED. Follow up every 2 weeks. Never stop on partial improvement.,Hepatic disease; monitor LFT if >4 weeks
Tinea / Dermatophytosis (Extensive),Extensive Tinea;Widespread Ring Worm,Dermatology,B35.9,Itraconazole (Systemic),Itaspor;Sporanox;Canditral,Azole Antifungal,100-200 mg OD (with food),,Oral,OD,3-8 weeks,100 mg,Capsule,First line – Systemic alternative,Source: ICMR STW. Take with food for absorption. Monitor LFT. Refer if no improvement after 4 weeks.,Hepatic disease; heart failure; multiple drug interactions
Tinea / Dermatophytosis (Extensive),Extensive Tinea;Tinea Pedis;Tinea Manuum,Dermatology,B35.9,Fluconazole (Systemic),Diflucan;Forcan,Azole Antifungal,50-150 mg OD,6 mg/kg/day,Oral,OD,3-8 weeks,50 mg; 150 mg,Tablet,First line – Systemic alternative (also preferred in pregnancy if systemic required),Source: ICMR STW. Weekly fluconazole 150 mg also used for tinea. Preferred if systemic antifungal needed in pregnancy.,Hepatic disease; QT prolongation
Tinea / Dermatophytosis (Extensive),Tinea;Griseofulvin;Paediatric,Dermatology,B35.9,Griseofulvin,Fulvicin;Grisovin,Antifungal (Polyene),500 mg BD,10-20 mg/kg/day,Oral,BD,3-8 weeks,500 mg,Tablet,"Alternative systemic (older drug, less preferred now)",Source: ICMR STW. Older drug. Requires prolonged treatment. Take with fatty food.,Pregnancy; porphyria; liver disease; SLE
Tinea / Dermatophytosis – Antipruritic,Itching Tinea;Tinea Pruritus,Dermatology,B35.9,Cetirizine / Levocetirizine,Cetzine;Lcz,Second-Gen Antihistamine,Cetirizine 10 mg HS or Levocetirizine 5 mg OD HS,,Oral,OD HS,As needed for itch,10 mg; 5 mg,Tablet,Adjuvant – relief of pruritus,Source: ICMR STW. For symptomatic itch relief only. Does not treat fungal infection.,
Onychomycosis,Nail Fungus;Fungal Nail;Tinea Unguium,Dermatology,B35.1,Terbinafine (Systemic – Nails),Terbicip;Lamisil,Systemic Allylamine Antifungal,250 mg BD,,Oral,BD,6 weeks (fingernails); 12 weeks (toenails),250 mg,Tablet,First line – Onychomycosis (systemic),Source: ICMR STW. Inform patient: normal nail takes several months to appear after treatment completion. Monitor LFT.,Hepatic disease
Onychomycosis,Nail Fungus;Fungal Nail,Dermatology,B35.1,Itraconazole Pulse Therapy,Itaspor;Sporanox,Azole Antifungal,200 mg BD x 7 days/month (2 pulses for fingernails; 3 pulses for toenails) OR 100 mg BD x 12 weeks continuous,,Oral,BD x 7 days per month,2-3 monthly pulses,100 mg,Capsule,First line – Onychomycosis alternative (pulse preferred for toenails),"Source: ICMR STW. Pulse therapy: 200 mg BD for 7 days, repeat monthly. Monitor LFT.",Hepatic disease; heart failure
Onychomycosis,Nail Fungus;Topical Nail Treatment,Dermatology,B35.1,Amorolfine 5% Nail Lacquer,Loceryl,Topical Antifungal Nail Lacquer,Apply to affected nail once weekly,,Topical (nail),Weekly,6-12 months,5%,Nail lacquer,"Topical – Limited nail disease (<50% nail surface, not reaching lunula)",Source: ICMR STW. Also for patients with contraindications to oral antifungals. Keep separate nail clippers. Avoid pedicure/manicure.,
Tinea Pedis / Tinea Manuum,Athlete's Foot;Tinea Pedis;Foot Fungus,Dermatology,B35.3,Luliconazole 1%,Lulifin;Lulibact,Topical Azole (Advanced),Apply LA OD,,Topical,OD,2-4 weeks,1%,Cream,First line – Tinea pedis/manuum (topical),Source: ICMR STW. Also for tertiary care use. Prolonged treatment required for palms/soles.,
Scabies,Scabies;Intense Itching at Night;Interdigital Itch;Mite Infestation,Dermatology,B86,Permethrin 5% Cream,Scaboma;Lyclear;Permithrex,Topical Antiparasitic,Apply whole body from neck downwards on dry clean skin; leave 8-12 hrs (overnight); wash off. 30 g per adult application. Repeat after 7-14 days.,Same as adult. In infants: also treat face and scalp. 15 g for children <5 yrs.,Topical,Single application x 2 (7-14 days apart),2 applications (7-14 days apart),5%,Cream,First line – Scabies (most patients),"Source: ICMR STW. TREAT ENTIRE SKIN, NOT LESIONS ALONE. TREAT ALL FAMILY MEMBERS AND CLOSE CONTACTS SIMULTANEOUSLY. Special attention to interdigital webspaces, axillae, wrists, genitalia, buttocks. Re-apply if hands washed within 8 hrs.",
Scabies,Scabies;Oral Scabies Treatment;Poor Compliance,Dermatology,B86,Ivermectin,Ivecop;Scabo,Systemic Antiparasitic,200 mcg/kg (up to 12 mg); 2 doses 1 week apart; taken with food,,Oral,Stat x 2 (1 week apart),2 doses 1 week apart,3 mg,Tablet,Oral alternative – poor compliance with topical / severe disease,Source: ICMR STW. Use when compliance with topical is poor. Take with food for absorption. TREAT ALL CONTACTS simultaneously.,Infants; children <5 yrs or <15 kg; pregnancy – use permethrin in these groups
Scabies,Scabies;Antihistamine;Itching,Dermatology,B86,Levocetirizine / Cetirizine,Lcz;Levocet;Cetzine,Second-Gen Antihistamine,Levocetirizine 5 mg OD HS or Cetirizine 10 mg HS,,Oral,OD HS,Continue as needed,5 mg; 10 mg,Tablet,Adjuvant – antipruritic,Source: ICMR STW. Itching can continue for several weeks after successful treatment – reassure patient and continue antihistamines. Repeated applications NOT required for persistent itch.,
Scabies,Scabies;Lindane;Gamma Benzene,Dermatology,B86,Gamma Benzene Hexachloride (GBHC / Lindane) 1%,Scabex,Topical Antiparasitic (Alternative),Apply whole body from neck down; leave 8-12 hrs; wash off,,Topical,Single application x 2,2 applications,1%,Lotion,Alternative – where permethrin unavailable,Source: ICMR STW. Alternative to permethrin. AVOID in infants – neurotoxic risk in young children.,Infants; children <2 yrs; pregnancy; seizure disorders
Scabies – Crusted,Crusted Scabies;Norwegian Scabies;Severe Scabies,Dermatology,B86,Ivermectin (Crusted Scabies Protocol) + Permethrin 5%,Ivecop;Scabo,Combined Topical + Systemic,"Ivermectin on days 1, 2, 8, 9, 15 (+ days 22, 29 in severe cases) PLUS Permethrin 5% cream daily x 7 days then twice weekly until cure",,Oral + Topical,As per protocol,Until cure (mycological clearance),3 mg (Ivermectin); 5% cream (Permethrin),Tablet + Cream,First line – Crusted/Norwegian Scabies,Source: ICMR STW. Keratolytic (Salicylic acid 3-6%) may be used over crusts to enhance penetration.,Pregnancy; <15 kg (for ivermectin – use permethrin only)
Scabies – Nodular,Nodular Scabies;Persistent Nodules Post Scabies,Dermatology,B86,Clobetasol Propionate (Topical) / Triamcinolone Acetonide (Intralesional),Temovate;Kenalog,Potent Topical Corticosteroid / Intralesional Steroid,Clobetasol propionate potent topical steroid LA OR Triamcinolone acetonide 10 mg/mL intralesional injection,,Topical / Intralesional,BD (topical) / Once (intralesional),Short course,0.05% (Clobetasol); 10 mg/mL (Triamcinolone),Cream/Ointment; Injection,For persistent nodular lesions after scabies treatment,Source: ICMR STW. For persistent nodules on male genitalia or other sites after successful scabies eradication. NOT for active scabies treatment.,Active infection; skin atrophy risk with prolonged use
Type 2 Diabetes Mellitus – Monitoring,T2DM Follow-up;Diabetes Monitoring,Endocrine,E11,HbA1c Monitoring + Annual Screening,,Investigation / Monitoring,"HbA1c every 6-12 months (3-monthly if uncontrolled). Annual: ECG, urine ACR, dilated fundoscopy, foot examination.",,Investigation,Every 3-12 months,Lifelong,,Investigation,Monitoring protocol,Source: ICMR STW. Metabolic targets: HbA1c ≤7%; FPG 80-130 mg/dl; PPBG <180 mg/dl; BP 140/90 (<130/80 in CKD); LDL <100 mg/dl (<70 in CAD).,
Scabies – Non-Pharmacological,Scabies Decontamination;Scabies Household,Dermatology,B86,Environmental Decontamination,,Non-Pharmacological,"Wash clothes, towels, bed linen used in preceding 3 days in hot water; dry in sun. Items that cannot be washed: seal in plastic bag for at least 3 days (useful for shoes and non-washable items).",Same,Non-pharmacological,Once (at time of treatment),At initiation of treatment,,Non-drug,Essential – prevent reinfestation,"Source: ICMR STW. All family members MUST be treated simultaneously. If itching >3-4 weeks or new lesions appear, suspect reinfestation (all contacts not treated simultaneously).",
